MovieID,Title,AvgRating,Count
53355,Sun Alley (Sonnenallee) (1999),5.000,1
33264,Satan's Tango (Sátántangó) (1994),5.000,2
64275,"Blue Light, The (Das Blaue Licht) (1932)",5.000,1
42783,Shadows of Forgotten Ancestors (1964),5.000,1
51209,Fighting Elegy (Kenka erejii) (1966),5.000,1
5194,Who's Singin' Over There? (a.k.a. Who Sings Over There) (Ko to tamo peva) (1980),4.750,4
26073,"Human Condition III, The (Ningen no joken III) (1961)",4.750,4
4454,More (1998),4.750,8
65001,Constantine's Sword (2007),4.750,2
26048,"Human Condition II, The (Ningen no joken II) (1959)",4.750,4
