TargetUser,MovieID,Title,PredictedRating
10058,3969,Pay It Forward (2000),5.0000
10058,507,"Perfect World, A (1993)",5.0000
10058,52885,Paprika (Papurika) (2006),5.0000
10058,6188,Old School (2003),5.0000
10058,333,Tommy Boy (1995),5.0000
10058,60291,Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008),5.0000
10058,6235,Europa Europa (Hitlerjunge Salomon) (1990),5.0000
10058,27721,"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",5.0000
10058,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),5.0000
10058,3836,Kelly's Heroes (1970),5.0000
